순위,제목,가수,앨범명
1위,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2위,TOMBOY,(여자)아이들,I NEVER DIE
3위,LOVE DIVE,IVE (아이브),LOVE DIVE
4위,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
5위,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6위,GANADARA (Feat. 아이유),박재범,GANADARA
7위,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8위,취중고백,김민석 (멜로망스),취중고백
9위,INVU,태연 (TAEYEON),INVU - The 3rd Album
10위,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까
11위,ELEVEN,IVE (아이브),ELEVEN
12위,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
13위,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM
14위,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
15위,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
16위,신호등,이무진,신호등
17위,STAY,"The Kid LAROI, Justin Bieber",Stay
18위,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
19위,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
20위,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
21위,버퍼링 (Glitch Mode),NCT DREAM,Glitch Mode - The 2nd Album
22위,드라마,아이유,조각집
23위,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
24위,MY BAG,(여자)아이들,I NEVER DIE
25위,strawberry moon,아이유,strawberry moon
26위,Step Back,GOT the beat,Step Back
27위,LOVE me,BE'O (비오),LOVE me
28위,Next Level,aespa,Next Level
29위,그대라는 사치,임영웅,사랑의 콜센타 PART62
30위,Weekend,태연 (TAEYEON),Weekend
31위,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
32위,사랑인걸,한동근,사랑인걸
33위,Real Love,오마이걸 (OH MY GIRL),Real Love
34위,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
35위,내가 아니라도,주호,내가 아니라도
36위,잊었니,임영웅,사랑의 콜센타 PART60
37위,너를 생각해,주시크 (Joosiq),너를 생각해
38위,어제처럼,폴킴,어제처럼
39위,라일락,아이유,IU 5th Album 'LILAC'
40위,HERO,임영웅,HERO
41위,Butter,방탄소년단,Butter
42위,Dynamite,방탄소년단,Dynamite (DayTime Version)
43위,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
44위,abcdefu,GAYLE,abcdefu
45위,호랑수월가,탑현,호랑수월가
46위,끝사랑,임영웅,사랑의 콜센타 PART61
47위,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
48위,"스물다섯, 스물하나",자우림,"Goodbye, grief."
49위,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
50위,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
51위,Permission to Dance,방탄소년단,Butter / Permission to Dance
52위,봄날,방탄소년단,YOU NEVER WALK ALONE
53위,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고
54위,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT
55위,Savage,aespa,Savage - The 1st Mini Album
56위,Dreams Come True,aespa,Dreams Come True - SM STATION
57위,Blueming,아이유,Love poem
58위,Celebrity,아이유,IU 5th Album 'LILAC'
59위,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
60위,Bad Habits,Ed Sheeran,=
61위,내 손을 잡아,아이유,최고의 사랑 OST Part.4
